Сущность	Атрибут	Описание атрибута
Вакансия	требования	Требования к кандидату
Контакты	идентификатор	Первичный ключ
Контакты	адрес	Почтовый адрес клиники
Контакты	геолокация	Координаты или данные для отображения на карте
Контакты	часы работы (основные)	Режим работы в рабочие дни
Контакты	часы работы (воскресенье)	Режим работы в воскресенье
Контакты	номер телефона	Основной контактный телефон
Контакты	дополнительный телефон	Дополнительный телефон (необязательное)
Контакты	электронная почта	Адрес электронной почты клиники
Пациент	идентификатор	Первичный ключ (поле patient_id в БД)
Пациент	логин	Уникальный логин для входа
Пациент	электронная почта	Адрес электронной почты (уникальное значение)
Пациент	пароль	Хеш пароля (хранится в зашифованном виде)
Пациент	ФИО	Фамилия, имя, отчество пользователя
Пациент	телефон	Номер телефона (уникальное значение)
Пациент	дата регистрации	Дата регистрации учётной записи
Пациент	адрес аватара	URL изображения профиля (необязательное)
Пациент	роль	Роль пользователя (значения в БД: USER, ADMIN, CHIEF_DOCTOR, OPERATOR)
Пациент	блокировка сообщений	Признак запрета отправки писем и сообщений
Материал	идентификатор	Первичный ключ
Материал	заголовок	Заголовок материала или новости
Материал	содержание	Краткое или основное содержание
Материал	подробное содержание	Расширенный текст для детального просмотра (необязательное)
Материал	адрес изображения	URL иллюстрации к материалу
Материал	дата	Дата публикации материала
Материал	год	Год публикации (для группировки)
Материал	активен	Признак публикации на сайте
Материал	дата создания	Дата и время создания записи
Материал	дата обновления	Дата и время последнего изменения записи
Письмо	идентификатор	Первичный ключ
Письмо	идентификатор пациента	Внешний ключ на пациента (автор обращения)
Письмо	тема	Тема обращения к главному врачу
Письмо	содержание	Текст первоначального обращения
Письмо	дата создания	Дата и время создания письма
Письмо	ответ (устар.)	Текст первого ответа (устаревшее поле, для совместимости)
Письмо	дата ответа (устар.)	Дата первого ответа (устаревшее поле)
Письмо	прочитано врачом	Признак прочтения обращения главным врачом
Письмо	ответ прочитан пациентом	Признак прочтения ответа пациентом
Письмо	новое сообщение от пациента	Признак наличия непрочитанного сообщения от пациента
Сообщение письма	идентификатор	Первичный ключ
Сообщение письма	идентификатор письма	Внешний ключ на письмо
Сообщение письма	тип отправителя	Тип отправителя: пациент или главный врач
Сообщение письма	содержание	Текст сообщения в переписке
Сообщение письма	дата отправки	Дата и время отправки сообщения
Сообщение письма	прочитано	Признак прочтения сообщения
Чат с оператором	идентификатор	Первичный ключ
Чат с оператором	идентификатор пациента	Внешний ключ на пациента (участник чата)
Чат с оператором	идентификатор оператора	Внешний ключ на пациента с ролью оператора (необязательное)
Чат с оператором	статус	Статус чата (значения в БД: WAITING, ACTIVE, CLOSED)
Чат с оператором	дата создания	Дата и время создания чата
Чат с оператором	дата обновления	Дата и время последнего изменения чата
Чат с оператором	время последнего сообщения	Дата и время последнего сообщения (необязательное)
Чат с оператором	непрочитано у оператора	Признак непрочитанных сообщений для оператора
Чат с оператором	непрочитано у пациента	Признак непрочитанных сообщений для пациента
Сообщение в чате	идентификатор	Первичный ключ
Сообщение в чате	идентификатор чата	Внешний ключ на чат с оператором
Сообщение в чате	идентификатор отправителя	Внешний ключ на пациента (отправитель сообщения)
Сообщение в чате	тип отправителя	Тип отправителя: пациент или оператор
Сообщение в чате	содержание	Текст сообщения
Сообщение в чате	дата отправки	Дата и время отправки
Сообщение в чате	прочитано	Признак прочтения сообщения
Запись на приём	идентификатор	Первичный ключ (поле appointment_id в БД)
Запись на приём	идентификатор пациента	Внешний ключ на пациента
Запись на приём	идентификатор специалиста	Внешний ключ на специалиста
Запись на приём	идентификатор услуги	Внешний ключ на услугу (необязательное)
Запись на приём	дата и время приёма	Запланированные дата и время приёма
Запись на приём	длительность	Длительность приёма в минутах (по умолчанию 30)
Запись на приём	статус	Статус записи: ожидание, подтверждена, отменена, завершена, неявка
Запись на приём	заметка пациента	Комментарий пациента при записи (необязательное)
Запись на приём	комментарий администратора	Комментарий администратора, видимый пациенту в ЛК (необязательное)
Запись на приём	дата создания	Дата и время создания записи
Запись на приём	дата обновления	Дата и время последнего изменения записи
